State,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,31474,32739,33583,32769,33963,35101,35992,36258,37384,38954,39525,40864,42328,43996
Alaska,41157,43906,47869,47258,49654,52581,53729,52843,55910,57629,56341,57352,59871,61742
Arizona,34703,35872,35748,33524,33848,35175,36272,36739,38211,39635,40618,42267,44071,45808
Arkansas,29617,31303,32306,31472,32367,34253,36533,36605,38650,39842,40720,41873,43446,44788
California,41746,43385,43567,41689,43249,45574,48154,48549,51332,54632,56667,58942,61663,64513
Colorado,40137,42074,42953,40093,40785,43635,45586,47339,50706,52222,52251,55125,58267,60848
Connecticut,53696,57684,60970,59684,61762,63229,64300,62900,65844,67761,69215,70797,73929,75794
Delaware,41053,41733,40894,40856,40947,43990,44121,44478,46115,47997,48890,50703,53062,53793
District of Columbia,55805,59824,60887,60143,63317,66735,67655,67066,70494,74352,76623,78116,80342,80819
Florida,38386,39594,39401,36818,38865,40482,41475,41069,43388,45493,46253,48774,51150,53034
Georgia,34791,35680,35438,34274,34830,36849,37507,37813,39994,41974,43074,45045,46882,48765
Hawaii,38480,40490,41969,41082,41606,42976,44121,44378,46658,48566,50089,52222,53534,55464
Idaho,31476,32707,32841,31281,32106,33627,35201,36229,37863,39622,40385,41905,43766,45741
Illinois,40365,42513,43460,41180,42294,44279,46190,47285,49564,51864,52543,54252,57240,59115
Indiana,33123,34055,35408,34267,35699,37822,39477,39829,41274,42778,43780,45278,47292,48980
Iowa,34448,36680,38703,37286,38320,41078,42953,43555,44856,46304,46531,47570,49548,50533
Kansas,35690,38057,41257,39431,39968,43057,45373,46291,47169,47527,47557,49033,51139,53203
Kentucky,30660,31728,33002,32397,33414,34826,35925,36131,37744,39360,39905,40954,42193,43881
Louisiana,33850,36432,38522,36930,38243,39131,41017,41396,43112,43146,42763,44120,46117,47670
Maine,34451,35686,37163,37157,38115,39737,40496,40452,41964,43888,45003,46737,48594,50421
Maryland,45576,47327,49186,48448,49691,51970,53016,52576,54100,56392,58329,60014,61600,62989
Massachusetts,47750,50085,51810,50772,52919,54942,56911,56977,59400,62998,65060,67545,70610,73477
Michigan,33812,34929,35969,34307,35769,37829,39355,39696,41383,43655,44809,45983,47708,49277
Minnesota,39667,41655,43161,41079,42734,45373,47822,47977,50157,52229,52890,54670,56986,58426
Mississippi,27981,29554,30785,30157,31284,32532,33632,34222,34846,35470,35946,36817,37822,39062
Missouri,34119,35502,37312,36385,37118,38536,40322,40576,41973,43334,44424,45393,47250,48945
Montana,32193,34183,35792,34689,36398,38584,40750,40746,42591,44066,44211,46282,48021,50099
Nebraska,36019,38531,40535,39535,41260,45744,46801,46842,49216,50887,49745,50658,52560,54037
Nevada,39767,40212,38836,36231,37487,38740,39840,39565,41637,44314,45232,47279,49424,51419
New Hampshire,43153,44695,45886,45101,47108,49184,51224,51010,52839,54935,56629,58791,61371,63785
New Jersey,47695,50473,51779,49854,51131,53237,55115,55599,58137,60551,62213,64410,67142,69626
New Mexico,30597,31950,33649,32911,33714,35069,35793,35149,37304,38211,38907,39592,41329,43121
New York,44128,47428,48184,47027,48818,51167,53599,54117,56270,58743,60833,64964,67357,69951
North Carolina,34385,36211,37835,35933,35860,36839,38984,38225,40061,41778,42574,44094,45758,47660
North Dakota,33357,36709,41075,40212,44284,49110,56671,55222,57963,54503,52592,53142,56340,58163
Ohio,34214,35629,36827,35755,36862,39287,40837,41373,42984,44641,45452,46999,48778,50201
Oklahoma,34854,35711,39325,35917,37271,39777,42188,43951,46522,44785,42399,44295,46298,48317
Oregon,34716,35879,36992,35313,36036,37596,39370,39787,42133,44693,45998,47982,50535,52462
Pennsylvania,38109,40337,41728,40530,42268,44300,46022,46456,48394,50352,51700,53117,55924,57596
Rhode Island,39028,40894,41638,40610,42805,44403,45978,45990,47937,49625,50320,52341,54158,56616
South Carolina,30984,32402,33234,32010,32838,34406,35852,36005,37878,39698,40744,42296,43711,45455
South Dakota,35299,38748,41168,39518,41417,44726,45384,45525,47374,49040,49018,50145,52346,54725
Tennessee,33065,34164,35059,34446,35856,37751,39418,39519,40841,42648,43637,45134,47203,49009
Texas,35630,37085,39946,37269,39029,42011,44193,44745,47273,47345,46445,49055,51813,53266
Utah,31327,33165,33941,31858,32226,34232,36085,36628,38328,40668,42008,43711,46377,49115
Vermont,37008,38944,41022,40479,41765,44150,45588,46224,48260,49662,50572,51839,53516,55396
Virginia,42385,44248,45514,44087,45519,47638,49366,48654,50428,52379,53439,55181,56978,58738
Washington,40027,42819,44241,41591,42352,44244,47357,47912,50966,53180,55038,57389,60352,63021
West Virginia,28704,29711,31607,31718,32764,34594,35478,35354,36618,37529,37453,39258,41406,42500
Wisconsin,36338,37816,39055,38182,39185,41262,43043,43194,44905,46800,47509,49105,51250,52918
Wyoming,44492,46278,49746,44564,46638,50726,54104,53620,57530,57576,54522,56757,59910,61065
